epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.577,1.58717,4.1265,1.79565,0.00647,1,0.48953,0.2853,0.85504,4.06492,1.27108,9.09e-05,9.09e-05,9.09e-05
2,320.541,1.02453,3.58137,1.2782,0.00742,1,0.52671,0.41809,0.70904,3.655,0.94688,0.00018711,0.00018711,0.00018711
3,470.193,0.95089,2.90646,1.21726,0.00628,1,0.6642,0.54016,0.75634,3.21591,0.9958,0.000279361,0.000279361,0.000279361
4,615.049,0.90708,2.43204,1.19411,0.00574,1,0.73234,0.59533,0.7642,3.24256,0.97058,0.000367652,0.000367652,0.000367652
5,759.629,0.94635,2.00871,1.20488,1,0.13929,0.82903,0.67685,0.79321,2.95339,0.96975,0.000451984,0.000451984,0.000451984
6,904.455,0.886,1.86149,1.16882,0.76845,0.80331,0.995,0.77335,0.88539,2.35926,1.02584,0.000532356,0.000532356,0.000532356
7,1049.83,0.91505,1.80222,1.18555,0.87122,0.97727,0.995,0.82429,0.81877,2.05581,1.05504,0.000608768,0.000608768,0.000608768
8,1196.64,0.87667,1.62514,1.12291,0.88748,0.97909,0.995,0.8152,0.7741,2.00763,1.00608,0.000681221,0.000681221,0.000681221
9,1339.78,0.83936,1.47036,1.09065,0.96027,0.75509,0.995,0.77096,0.87877,1.98684,1.09186,0.000749714,0.000749714,0.000749714
10,1485.67,0.91701,1.6104,1.16193,0.91133,1,0.995,0.74374,1.00577,1.59912,1.11703,0.000747016,0.000747016,0.000747016
11,1633.76,0.80485,1.42617,1.08316,0.88789,0.9823,0.995,0.80832,0.77473,1.30481,0.98816,0.000729018,0.000729018,0.000729018
12,1780.26,0.79624,1.32752,1.07352,0.94549,0.92874,0.995,0.80859,0.74636,1.33721,0.97934,0.00071102,0.00071102,0.00071102
13,1927.11,0.80255,1.30785,1.07526,0.91216,0.97152,0.995,0.79852,0.7793,1.36915,0.99506,0.000693022,0.000693022,0.000693022
14,2071.64,0.77445,1.20187,1.05551,0.94992,0.95419,0.995,0.82522,0.71461,1.24734,0.94317,0.000675023,0.000675023,0.000675023
15,2217.22,0.78732,1.2255,1.04246,0.93735,1,0.995,0.80567,0.75992,1.11228,0.97037,0.000657025,0.000657025,0.000657025
16,2360.83,0.77566,1.21254,1.05479,0.94903,0.97484,0.995,0.81441,0.7121,1.12942,0.92502,0.000639027,0.000639027,0.000639027
17,2505.32,0.82191,1.26047,1.08937,0.90086,0.93613,0.98714,0.77859,0.83859,1.25198,1.0405,0.000621029,0.000621029,0.000621029
18,2650.39,0.79338,1.14451,1.04432,0.97075,1,0.995,0.80383,0.78407,1.0212,0.96849,0.000603031,0.000603031,0.000603031
19,2795.65,0.77009,1.16643,1.06053,0.89978,0.97838,0.995,0.81988,0.69444,1.02713,0.92805,0.000585032,0.000585032,0.000585032
20,2947.12,0.71325,1.06507,1.01095,0.97909,1,0.995,0.82964,0.71919,0.89569,0.93149,0.000567034,0.000567034,0.000567034
21,3091.66,0.733,1.1019,1.02871,0.97658,1,0.995,0.80979,0.81634,0.89981,0.97465,0.000549036,0.000549036,0.000549036
22,3237.5,0.7329,1.11427,1.03181,0.97276,1,0.995,0.80286,0.79093,0.9095,0.95296,0.000531038,0.000531038,0.000531038
23,3381.78,0.71981,1.09166,1.02112,0.96764,1,0.995,0.81303,0.77583,0.9118,0.95925,0.00051304,0.00051304,0.00051304
24,3526.32,0.72002,1.05115,1.04015,0.9675,1,0.995,0.84238,0.74962,0.89912,0.94109,0.000495041,0.000495041,0.000495041
25,3670.65,0.72003,1.01394,1.03718,0.98136,1,0.995,0.81655,0.80883,0.87965,0.96355,0.000477043,0.000477043,0.000477043
26,3815.58,0.64847,0.94292,0.98155,0.95532,1,0.995,0.84351,0.78573,0.87959,0.94735,0.000459045,0.000459045,0.000459045
27,3958.01,0.6563,0.96484,0.96415,0.92862,0.99857,0.995,0.8293,0.76987,0.87838,0.95068,0.000441047,0.000441047,0.000441047
28,4102.55,0.62899,0.89147,0.98003,0.93607,0.99218,0.995,0.80171,0.82477,0.88387,0.99969,0.000423049,0.000423049,0.000423049
29,4247.17,0.67043,0.94301,1.00394,0.93166,0.9897,0.995,0.82896,0.76976,0.89596,0.93944,0.00040505,0.00040505,0.00040505
30,4392.86,0.63615,0.86708,0.97204,0.97348,1,0.995,0.83514,0.81265,0.90179,0.95463,0.000387052,0.000387052,0.000387052
31,4536.77,0.653,0.89246,0.98956,0.96042,0.99421,0.995,0.82138,0.8236,0.82025,0.97639,0.000369054,0.000369054,0.000369054
32,4682.82,0.62511,0.86345,0.98503,0.93386,0.99373,0.995,0.82636,0.81148,0.79984,0.94319,0.000351056,0.000351056,0.000351056
33,4825.86,0.5932,0.82446,0.96921,0.93663,0.99728,0.995,0.80319,0.77619,0.77851,0.92856,0.000333058,0.000333058,0.000333058
34,4970.35,0.58041,0.78077,0.97212,0.96573,1,0.995,0.82195,0.80095,0.76264,0.95521,0.000315059,0.000315059,0.000315059
35,5116,0.5996,0.79346,0.9651,0.98104,1,0.995,0.81574,0.76441,0.73485,0.93682,0.000297061,0.000297061,0.000297061
36,5262.51,0.60893,0.81303,0.97256,0.97988,1,0.995,0.82306,0.77091,0.7424,0.93258,0.000279063,0.000279063,0.000279063
37,5408.48,0.56385,0.76977,0.94108,0.97394,1,0.995,0.82648,0.78822,0.774,0.94661,0.000261065,0.000261065,0.000261065
38,5552.99,0.55982,0.77975,0.94277,0.9719,1,0.995,0.82424,0.78167,0.74413,0.94597,0.000243067,0.000243067,0.000243067
39,5698.68,0.54397,0.72744,0.93,0.97368,1,0.995,0.82967,0.79699,0.7279,0.93982,0.000225068,0.000225068,0.000225068
40,5844.23,0.5107,0.72323,0.93166,0.97599,1,0.995,0.823,0.83179,0.74264,0.94838,0.00020707,0.00020707,0.00020707
41,5988.74,0.44546,0.90682,0.87633,0.97691,1,0.995,0.82754,0.82928,0.74799,0.95018,0.000189072,0.000189072,0.000189072
42,6134.33,0.44618,0.93949,0.85603,0.97951,1,0.995,0.81996,0.82556,0.76669,0.94676,0.000171074,0.000171074,0.000171074
43,6278.81,0.41179,0.87301,0.84019,0.9607,1,0.995,0.81532,0.82761,0.76518,0.94727,0.000153076,0.000153076,0.000153076
44,6431.78,0.38308,0.83135,0.83616,0.97191,1,0.995,0.80316,0.84749,0.73085,0.95734,0.000135077,0.000135077,0.000135077
45,6577.59,0.37497,0.80847,0.83992,0.97609,1,0.995,0.82489,0.82328,0.71471,0.94956,0.000117079,0.000117079,0.000117079
46,6722.52,0.37938,0.80518,0.8303,0.9765,1,0.995,0.81851,0.78257,0.69581,0.94003,9.9081e-05,9.9081e-05,9.9081e-05
47,6868.4,0.37109,0.80419,0.80718,0.97827,1,0.995,0.81779,0.77996,0.68559,0.93717,8.10828e-05,8.10828e-05,8.10828e-05
48,7011.43,0.37369,0.78581,0.84608,0.97991,1,0.995,0.81701,0.79975,0.68482,0.94102,6.30846e-05,6.30846e-05,6.30846e-05
49,7154.14,0.34029,0.76495,0.81573,0.97988,1,0.995,0.80936,0.80108,0.68386,0.94014,4.50864e-05,4.50864e-05,4.50864e-05
50,7297.87,0.3481,0.78176,0.80825,0.9804,1,0.995,0.81497,0.79948,0.68195,0.93948,2.70882e-05,2.70882e-05,2.70882e-05
